vitesse_vent_ms,temperature_c,densite_air_kg_m3,turbulence_pct,energie_kwh
6.025,18.718,1.209,6.07,153.91
13.615,31.236,1.16,6.723,1653.75
15.882,4.037,1.273,10.889,1940.74
8.97,-3.419,1.309,19.327,509.79
17.183,20.852,1.201,4.939,1908.08
3.905,13.196,1.233,6.46,47.95
18.375,21.99,1.196,4.69,1908.74
11.399,4.61,1.271,9.224,1066.97
14.755,0.998,1.288,10.74,1962.16
15.74,0.585,1.29,4.999,1990.14
18.131,2.907,1.279,14.13,1884.7
6.312,18.741,1.209,12.67,156.84
12.747,29.414,1.167,21.642,1209.41
10.204,20.236,1.203,5.564,721.56
9.397,21.067,1.2,16.934,463.46
6.194,8.815,1.252,19.433,137.58
14.236,21.218,1.199,14.152,1788.6
15.243,21.874,1.196,16.775,1709.84
7.531,-4.154,1.312,22.292,253.15
10.386,31.876,1.157,21.28,617.04
12.033,24.325,1.187,17.215,1063.8
15.615,17.799,1.213,21.486,1680.66
17.755,28.064,1.172,22.492,1548.5
5.955,1.144,1.287,14.497,136.41
12.819,-3.595,1.31,12.158,1507.96
5.475,15.182,1.224,5.804,89.94
3.758,5.814,1.265,19.582,10.83
11.432,13.469,1.232,15.079,953.85
13.083,27.023,1.176,22.862,1304.14
6.169,32.17,1.156,16.438,125.74
9.481,9.734,1.248,3.142,657.14
18.316,9.387,1.249,12.084,1887.08
16.561,-4.022,1.312,22.988,1804.52
5.958,18.144,1.212,9.728,122.78
8.328,3.806,1.275,3.15,420.79
16.44,2.553,1.28,7.4,2000.0
9.905,11.536,1.24,3.203,686.51
2.991,0.122,1.292,10.365,0.0
13.21,13.547,1.231,8.248,1563.44
3.142,15.22,1.224,7.439,9.07
6.141,17.878,1.213,14.581,132.36
16.966,6.185,1.264,10.096,1964.98
4.523,-2.979,1.307,21.614,25.12
12.043,6.001,1.264,10.806,1211.82
6.603,2.415,1.281,7.189,222.04
7.413,22.717,1.193,20.281,217.17
15.14,24.366,1.186,3.087,1937.16
17.089,16.229,1.22,19.396,1725.81
4.349,1.143,1.287,17.298,16.16
6.377,7.219,1.259,9.141,161.73
16.877,20.158,1.203,11.784,1820.62
15.294,22.304,1.195,18.488,1694.78
5.531,15.1,1.225,11.821,82.24
8.853,21.149,1.199,19.432,410.06
10.037,29.901,1.165,13.223,610.0
15.616,11.402,1.24,17.727,1755.74
7.89,13.902,1.23,4.831,335.81
8.945,10.229,1.246,20.282,439.79
2.524,14.946,1.225,14.827,6.8
13.11,-2.126,1.302,8.852,1663.26
11.638,26.313,1.179,5.651,1045.91
15.126,29.473,1.166,12.024,1706.34
10.34,11.567,1.24,16.559,690.57
8.516,34.793,1.146,8.195,401.65
9.905,19.08,1.208,14.415,621.92
4.589,13.473,1.232,22.182,6.4
10.742,12.003,1.238,19.246,763.4
15.157,17.657,1.214,14.929,1778.79
8.413,5.539,1.267,15.775,372.6
3.991,30.591,1.162,5.01,0.0
16.473,34.771,1.146,14.792,1659.38
13.108,-2.402,1.304,8.154,1659.95
7.047,1.177,1.287,3.243,280.64
2.068,-3.105,1.307,10.034,22.99
15.993,14.106,1.229,21.09,1658.92
2.759,8.983,1.251,13.358,0.0
4.376,32.187,1.156,14.704,72.18
18.487,24.716,1.185,18.241,1664.66
8.361,20.04,1.204,16.292,353.66
6.04,25.244,1.183,18.657,129.17
4.998,-1.789,1.301,10.619,57.92
7.821,5.538,1.267,11.785,300.95
9.083,23.95,1.188,9.6,449.43
6.902,3.216,1.277,11.086,210.99
8.547,24.463,1.186,20.85,355.89
4.767,32.703,1.154,10.294,80.87
